https://github.com/mTvare6/hello-world.rs,other,3390
https://github.com/monkslc/hyperpolyglot,apache-2.0,62
https://github.com/mame/6x6-reversi-oracle,none,57
https://github.com/mtmd/Mobile_ConvNet,none,52
https://github.com/jethrogb/rust-core_io,apache-2.0,36
https://github.com/sneves/norx-rust,cc0-1.0,17
https://github.com/EEEManchester/drone_build_tutorial,none,12
https://github.com/jswrenn/analit,mit,11
https://github.com/fschutt/xlib-programming-rust,none,9
https://github.com/katalon-studio-samples/katalon-mobile-automation,none,8
https://github.com/JossDuff/reach-crowdfund,mit,7
https://github.com/katalon-studio-samples/DragAndDropExample,none,7
https://github.com/executeautomation/KatalonDocker,none,6
https://github.com/bfops/rust-cpp,none,6
https://github.com/MetaLabsOG/cometa-lm-contract,mit,6
