https://github.com/tobykurien/Xtendroid,mit,242
https://github.com/tobykurien/WebApps,mit,237
https://github.com/ThomDietrich/openhab-config,none,133
https://github.com/jhipster/jhipster-ide,none,128
https://github.com/borkdominik/bigER,mit,109
https://github.com/COVESA/capicxx-someip-tools,mpl-2.0,80
https://github.com/prof7bit/wallet-key-tool,none,71
https://github.com/tobykurien/WebMediaShare,mit,69
https://github.com/svenefftinge/xtendfx,none,55
https://github.com/TypeFox/yang-lsp,apache-2.0,52
https://github.com/oehme/xtend-contrib,mit,32
https://github.com/ftsrg/gamma,none,30
https://github.com/svenefftinge/xtext-lsp-workshop,none,28
https://github.com/japkit/japkit,apache-2.0,25
https://github.com/UBC-Stat-ML/blangSDK,bsd-2-clause,24
https://github.com/Guite/MostGenerator,none,23
https://github.com/dragos/typesafe-config-eclipse,apache-2.0,23
https://github.com/oddgen/oddgen,apache-2.0,23
https://github.com/blueneogeo/xtend-tools,apache-2.0,22
https://github.com/graph-quilt/graphql-xtext,other,22
https://github.com/tobykurien/Sparkler,mit,20
https://github.com/sirolf2009/samurai,other,19
https://github.com/GENIVI/franca_plus,none,18
https://github.com/Smart-Contract-Modelling-uOttawa/Symboleo-IDE,mit,18
https://github.com/modal-dsl/modal,apache-2.0,17
https://github.com/REGnosys/rosetta-code-generators,apache-2.0,17
https://github.com/rzymek/java2xtend,other,17
https://github.com/Minres/CoreDSL,apache-2.0,17
https://github.com/szschaler/GridGames,mit,15
https://github.com/blueneogeo/xtend-async,none,15
https://github.com/Namek/TheConsole,mit,15
https://github.com/OpenNTF/CommandLineEmailClient,apache-2.0,15
https://github.com/wwu-pi/md2-framework,apache-2.0,14
https://github.com/fuinorg/org.fuin.dsl.ddd,none,12
https://github.com/spagnuolocarmine/FLY-language,mit,12
https://github.com/danieldietrich/xtext-protected-regions,none,12
https://github.com/PacktPublishing/Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,mit,11
https://github.com/plugback/jpa,none,10
https://github.com/TypeFox/xtext2langium,mit,8
https://github.com/basilfx/xtext-standalone-maven-build,none,8
https://github.com/scottopell/vim-xtext,none,7
https://github.com/hypery2k/galen_ide,mit,7
https://github.com/sargunv/cursed-languages,unlicense,7
https://github.com/UBC-Stat-ML/nowellpack,none,7
https://github.com/Hellmy/plantuml-eclipse-xtext,apache-2.0,7
https://github.com/theia-ide/yang-eclipse,apache-2.0,6
https://github.com/gzsombor/logging-annotation,none,6
https://github.com/davidB/jme3_ext_deferred,cc0-1.0,6
https://github.com/markus1978/emf-compress,none,6
https://github.com/markus1978/xraw,mit,6
https://github.com/2over12/sleigh-lsp-extension,apache-2.0,6
https://github.com/czarly/scilla-language-server,none,6
